filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,xbrl_source
2009-07-22,2009-06-27,10-Q,8337000000.0,1229000000.0,48140000000.0,22252000000.0,25888000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509153165/aapl-20090627.xml
2009-10-27,2009-09-26,10-K,36537000000.0,5704000000.0,53851000000.0,26019000000.0,27832000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/aapl-20090926.xml
2010-01-25,2009-09-26,10-K,42905000000.0,8235000000.0,47501000000.0,15861000000.0,31640000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510012091/aapl-20090926.xml
2010-01-25,2009-12-26,10-Q,15683000000.0,3378000000.0,53926000000.0,18158000000.0,35768000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/aapl-20091226.xml
2010-04-21,2010-03-27,10-Q,13499000000.0,3074000000.0,57057000000.0,17709000000.0,39348000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510088957/aapl-20100327.xml
2010-07-21,2010-06-26,10-Q,15700000000.0,3253000000.0,64725000000.0,21614000000.0,43111000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510162840/aapl-20100626.xml
2010-10-27,2010-09-25,10-K,65225000000.0,14013000000.0,75183000000.0,27392000000.0,47791000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/aapl-20100925.xml
2011-01-19,2010-12-25,10-Q,26741000000.0,6004000000.0,86742000000.0,32076000000.0,54666000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511010144/aapl-20101225.xml
2011-04-21,2011-03-26,10-Q,24667000000.0,5987000000.0,94904000000.0,33427000000.0,61477000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511104388/aapl-20110326.xml
2011-07-20,2011-06-25,10-Q,28571000000.0,7308000000.0,106758000000.0,37415000000.0,69343000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511192493/aapl-20110625.xml
2011-10-26,2011-09-24,10-K,108249000000.0,25922000000.0,116371000000.0,39756000000.0,76615000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/aapl-20110924.xml
2012-01-25,2011-12-31,10-Q,46333000000.0,13064000000.0,138681000000.0,48627000000.0,90054000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512023398/aapl-20111231.xml
2012-04-25,2012-03-31,10-Q,39186000000.0,11622000000.0,150934000000.0,48436000000.0,102498000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512182321/aapl-20120331.xml
2012-07-25,2012-06-30,10-Q,35023000000.0,8824000000.0,162896000000.0,51150000000.0,111746000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512314552/aapl-20120630.xml
2012-10-31,2012-09-29,10-K,156508000000.0,41733000000.0,176064000000.0,57854000000.0,118210000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/aapl-20120929.xml
2013-01-24,2012-12-29,10-Q,54512000000.0,13078000000.0,196088000000.0,68742000000.0,127346000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513022339/aapl-20121229.xml
2013-04-24,2013-03-30,10-Q,43603000000.0,9547000000.0,194743000000.0,59253000000.0,135490000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513168288/aapl-20130330.xml
2013-07-24,2013-06-29,10-Q,35323000000.0,6900000000.0,199856000000.0,76502000000.0,123354000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513300670/aapl-20130629.xml
2013-10-30,2013-09-28,10-K,170910000000.0,37037000000.0,207000000000.0,83451000000.0,123549000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/aapl-20130928.xml
2014-01-28,2013-12-28,10-Q,57594000000.0,13072000000.0,225184000000.0,95500000000.0,129684000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514024487/aapl-20131228.xml
2014-04-24,2014-03-29,10-Q,45646000000.0,10223000000.0,205989000000.0,85810000000.0,120179000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514157311/aapl-20140329.xml
2014-07-23,2014-06-28,10-Q,37432000000.0,7748000000.0,222520000000.0,101580000000.0,120940000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514277160/aapl-20140628.xml
