date,total_assets_musd
2009-01-31,1480.0
2009-04-30,1468.0
2009-07-31,1557.0
2009-10-31,1643.0
2010-01-31,2460.0
2010-04-30,2488.0
2010-07-31,2698.0
2010-10-31,2741.0
2011-01-31,3091.0
2011-04-30,3128.0
2011-07-31,3421.0
2011-10-31,3511.0
2012-01-31,4164.0
2012-04-30,4156.0
2012-07-31,4454.0
2012-10-31,4642.0
2013-01-31,5529.0
2013-04-30,6514.0
2013-07-31,7970.0
2013-10-31,8098.0
2014-01-31,9153.0
2014-04-30,8641.0
2014-07-31,9010.0
2014-10-31,9413.0
2015-01-31,10665.0
2015-04-30,10366.0
2015-07-31,10794.0
2015-10-31,10912.0
2016-01-31,12763.0
2016-04-30,12817.0
2016-07-31,14381.0
2016-10-31,14388.0
2017-01-31,17585.0
2017-04-30,17059.0
2017-07-31,17419.0
2017-10-31,17490.0
2018-01-31,21984.0
2018-04-30,22963.0
2018-07-31,25823.0
2018-10-31,26588.0
2019-01-31,30737.0
2019-04-30,33154.0
2019-07-31,33336.0
2019-10-31,49942.0
2020-01-31,55126.0
2020-04-30,53623.0
2020-07-31,57780.0
2020-10-31,59136.0
2021-01-31,66301.0
2021-04-30,64885.0
2021-07-31,88658.0
2021-10-31,87436.0
2022-01-31,95209.0
2022-04-30,93022.0
2022-07-31,94148.0
2022-10-31,91884.0
2023-01-31,98849.0
2023-04-30,93541.0
2023-07-31,92447.0
2023-10-31,91022.0
2024-01-31,99823.0
2024-04-30,96180.0
2024-07-31,92180.0
2024-10-31,91395.0
2025-01-31,102928.0
2025-04-30,98610.0
