date,share_holder_equity_musd
2009-03-31,36943.0
2009-06-30,39558.0
2009-09-30,41212.0
2009-12-31,44283.0
2010-03-31,45710.0
2010-06-30,46175.0
2010-09-30,46942.0
2010-12-31,48481.0
2011-03-31,53452.0
2011-06-30,57083.0
2011-09-30,59391.0
2011-12-31,64121.0
2012-03-31,68659.0
2012-06-30,66363.0
2012-09-30,68836.0
2012-12-31,72576.0
2013-03-31,76688.0
2013-06-30,78944.0
2013-09-30,81641.0
2013-12-31,85100.0
2014-03-31,87424.0
2014-06-30,89784.0
2014-09-30,90170.0
2014-12-31,91879.0
2015-03-31,90132.0
2015-06-30,80083.0
2015-09-30,77445.0
2015-12-31,76780.0
2016-03-31,74806.0
2016-06-30,71997.0
2016-09-30,70372.0
2016-12-31,68809.0
2017-03-31,69729.0
2017-06-30,87711.0
2017-09-30,89647.0
2017-12-31,78360.0
2018-03-31,79239.0
2018-06-30,82718.0
2018-09-30,85967.0
2018-12-31,92128.0
2019-03-31,94864.0
2019-06-30,102330.0
2019-09-30,106061.0
2019-12-31,110109.0
2020-03-31,114501.0
2020-06-30,118304.0
2020-09-30,123392.0
2020-12-31,130236.0
2021-03-31,134505.0
2021-06-30,141988.0
2021-09-30,151978.0
2021-12-31,160010.0
2022-03-31,162924.0
2022-06-30,166542.0
2022-09-30,173566.0
2022-12-31,183136.0
2023-03-31,194683.0
2023-06-30,206223.0
2023-09-30,220714.0
2023-12-31,238268.0
2024-03-31,253152.0
2024-06-30,268477.0
2024-09-30,287723.0
2024-12-31,302695.0
2025-03-31,321891.0
2025-06-30,343479.0
