Date,Value,quarter
2025-06-30,1.99,Q3 2025
2025-03-31,1.99,Q2 2025
2024-12-31,2.53,Q1 2024
2024-09-30,2.72,Q4 2024
2024-06-30,3.04,Q3 2024
2024-03-31,2.9,Q2 2024
2023-12-31,3.2,Q1 2023
2023-09-30,3.24,Q4 2023
2023-06-30,2.83,Q3 2023
2023-03-31,2.28,Q2 2023
2022-12-31,1.32,Q1 2022
2022-09-30,2.3,Q4 2022
2022-06-30,2.48,Q3 2022
2022-03-31,4.01,Q2 2022
2021-12-31,5.72,Q1 2021
2021-09-30,4.98,Q4 2021
2021-06-30,12.24,Q3 2021
2021-03-31,1.76,Q2 2021
2020-12-31,-1.02,Q1 2020
2020-09-30,-1.41,Q4 2020
2020-06-30,-7.5,Q3 2020
2020-03-31,1.28,Q2 2020
2019-12-31,3.35,Q1 2019
2019-09-30,2.8,Q4 2019
2019-06-30,2.24,Q3 2019
2019-03-31,1.93,Q2 2019
2018-12-31,2.13,Q1 2018
2018-09-30,3.13,Q4 2018
2018-06-30,3.3,Q3 2018
2018-03-31,3.33,Q2 2018
2017-12-31,2.99,Q1 2017
2017-09-30,2.41,Q4 2017
2017-06-30,2.33,Q3 2017
2017-03-31,2.09,Q2 2017
2016-12-31,2.18,Q1 2016
2016-09-30,1.81,Q4 2016
2016-06-30,1.49,Q3 2016
2016-03-31,1.8,Q2 2016
2015-12-31,2.12,Q1 2015
2015-09-30,2.45,Q4 2015
2015-06-30,3.28,Q3 2015
2015-03-31,3.97,Q2 2015
2014-12-31,2.69,Q1 2014
2014-09-30,3.06,Q4 2014
2014-06-30,2.69,Q3 2014
2014-03-31,1.65,Q2 2014
2013-12-31,3.01,Q1 2013
2013-09-30,2.24,Q4 2013
2013-06-30,1.52,Q3 2013
2013-03-31,1.7,Q2 2013
2012-12-31,1.55,Q1 2012
2012-09-30,2.57,Q4 2012
2012-06-30,2.4,Q3 2012
2012-03-31,2.64,Q2 2012
2011-12-31,1.54,Q1 2011
2011-09-30,0.94,Q4 2011
2011-06-30,1.74,Q3 2011
2011-03-31,2.04,Q2 2011
2010-12-31,2.78,Q1 2010
2010-09-30,3.34,Q4 2010
2010-06-30,2.91,Q3 2010
2010-03-31,1.75,Q2 2010
