filing_date,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity
2014-10-27,10-K,182795000.0,39510000.0,231839000.0,120292000.0,111547000.0
2015-01-28,10-Q,74599000.0,18024000.0,261894000.0,138566000.0,123328000.0
2015-04-28,10-Q,58010000.0,13569000.0,261194000.0,132188000.0,129006000.0
2015-07-22,10-Q,49605000.0,10677000.0,273151000.0,147474000.0,125677000.0
2015-10-28,10-K,233715000.0,53394000.0,290479000.0,171124000.0,119355000.0
2016-01-27,10-Q,75872000.0,18361000.0,293284000.0,165017000.0,128267000.0
2016-04-27,10-Q,50557000.0,10516000.0,305277000.0,174820000.0,130457000.0
2016-07-27,10-Q,42358000.0,7796000.0,305602000.0,179061000.0,126541000.0
2016-10-26,10-K,215639000.0,45687000.0,321686000.0,193437000.0,128249000.0
2017-02-01,10-Q,78351000.0,17891000.0,331141000.0,198751000.0,132390000.0
2017-05-03,10-Q,52896000.0,11029000.0,334532000.0,200450000.0,134082000.0
2017-08-02,10-Q,45408000.0,8717000.0,345173000.0,212748000.0,132425000.0
2017-11-03,10-K,229234000.0,48351000.0,375319000.0,241272000.0,134047000.0
2018-02-02,10-Q,88293000.0,20065000.0,406794000.0,266595000.0,140199000.0
2018-05-02,10-Q,61137000.0,13822000.0,367502000.0,240624000.0,126878000.0
2018-08-01,10-Q,53265000.0,11519000.0,349197000.0,234248000.0,114949000.0
2018-11-05,10-K,265595000.0,59531000.0,365725000.0,258578000.0,41000.0
2019-01-30,10-Q,84310000.0,19965000.0,373719000.0,255827000.0,117892000.0
2019-05-01,10-Q,58015000.0,11561000.0,341998000.0,236138000.0,105860000.0
2019-07-31,10-Q,53809000.0,10044000.0,322239000.0,225783000.0,96456000.0
2019-10-31,10-K,260174000.0,55256000.0,338516000.0,248028000.0,32000.0
2020-01-29,10-Q,91819000.0,22236000.0,340618000.0,251087000.0,89531000.0
2020-05-01,10-Q,58313000.0,11249000.0,320400000.0,241975000.0,78425000.0
2020-07-31,10-Q,59685000.0,11253000.0,317344000.0,245062000.0,72282000.0
2020-10-30,10-K,274515000.0,57411000.0,323888000.0,258549000.0,34000.0
2021-01-28,10-Q,111439000.0,28755000.0,354054000.0,287830000.0,66224000.0
2021-04-29,10-Q,89584000.0,23630000.0,337158000.0,267980000.0,69178000.0
2021-07-28,10-Q,81434000.0,21744000.0,329840000.0,265560000.0,64280000.0
2021-10-29,10-K,365817000.0,94680000.0,351002000.0,287912000.0,32000.0
2022-01-28,10-Q,123945000.0,34630000.0,381191000.0,309259000.0,71932000.0
2022-04-29,10-Q,97278000.0,25010000.0,350662000.0,283263000.0,67399000.0
2022-07-29,10-Q,82959000.0,19442000.0,336309000.0,278202000.0,58107000.0
2022-10-28,10-K,394328000.0,99803000.0,352755000.0,302083000.0,32000.0
2023-02-03,10-Q,117154000.0,29998000.0,346747000.0,290020000.0,56727000.0
2023-05-05,10-Q,94836000.0,24160000.0,332160000.0,270002000.0,62158000.0
2023-08-04,10-Q,81797000.0,19881000.0,335038000.0,274764000.0,60274000.0
2023-11-03,10-K,383285000.0,96995000.0,352583000.0,290437000.0,31000.0
2024-02-02,10-Q,119575000.0,33916000.0,353514000.0,279414000.0,74100000.0
2024-05-03,10-Q,90753000.0,23636000.0,337411000.0,263217000.0,74194000.0
2024-08-02,10-Q,85777000.0,21448000.0,331612000.0,264904000.0,66708000.0
2024-11-01,10-K,391035000.0,93736000.0,364980000.0,308030000.0,32000.0
2025-01-31,10-Q,124300000.0,36330000.0,344085000.0,277327000.0,66758000.0
2025-05-02,10-Q,95359000.0,24780000.0,331233000.0,264437000.0,66796000.0
2025-08-01,10-Q,94036000.0,23434000.0,331495000.0,265665000.0,65830000.0
