quarter,Date,gdp_growth,interest_rate
Q3 2025,2025-06-30,1.99,4.33
Q2 2025,2025-03-31,1.99,4.33
Q1 2025,2024-12-31,2.53,4.6499999999999995
Q4 2024,2024-09-30,2.72,5.263333333333333
Q3 2024,2024-06-30,3.04,5.33
Q2 2024,2024-03-31,2.9,5.33
Q1 2024,2023-12-31,3.2,5.33
Q4 2023,2023-09-30,3.24,5.260000000000001
Q3 2023,2023-06-30,2.83,4.989999999999999
Q2 2023,2023-03-31,2.28,4.516666666666667
Q1 2023,2022-12-31,1.32,3.653333333333333
Q4 2022,2022-09-30,2.3,2.19
Q3 2022,2022-06-30,2.48,0.77
Q2 2022,2022-03-31,4.01,0.12
Q1 2022,2021-12-31,5.72,0.08
Q4 2021,2021-09-30,4.98,0.09000000000000001
Q3 2021,2021-06-30,12.24,0.07
Q2 2021,2021-03-31,1.76,0.08
Q1 2021,2020-12-31,-1.02,0.09000000000000001
Q4 2020,2020-09-30,-1.41,0.09333333333333334
Q3 2020,2020-06-30,-7.5,0.06
Q2 2020,2020-03-31,1.28,1.26
Q1 2020,2019-12-31,3.35,1.6433333333333333
Q4 2019,2019-09-30,2.8,2.19
Q3 2019,2019-06-30,2.24,2.3966666666666665
Q2 2019,2019-03-31,1.93,2.4033333333333333
Q1 2019,2018-12-31,2.13,2.22
Q4 2018,2018-09-30,3.13,1.9233333333333331
Q3 2018,2018-06-30,3.3,1.7366666666666666
Q2 2018,2018-03-31,3.33,1.4466666666666665
Q1 2018,2017-12-31,2.99,1.2033333333333334
Q4 2017,2017-09-30,2.41,1.1533333333333333
Q3 2017,2017-06-30,2.33,0.9500000000000001
Q2 2017,2017-03-31,2.09,0.7000000000000001
Q1 2017,2016-12-31,2.18,0.45
Q4 2016,2016-09-30,1.81,0.39666666666666667
Q3 2016,2016-06-30,1.49,0.37333333333333335
Q2 2016,2016-03-31,1.8,0.36000000000000004
Q1 2016,2015-12-31,2.12,0.16
Q4 2015,2015-09-30,2.45,0.1366666666666667
Q3 2015,2015-06-30,3.28,0.12333333333333334
Q2 2015,2015-03-31,3.97,0.11
Q1 2015,2014-12-31,2.69,0.09999999999999999
Q4 2014,2014-09-30,3.06,0.09000000000000001
Q3 2014,2014-06-30,2.69,0.09333333333333334
Q2 2014,2014-03-31,1.65,0.07333333333333335
Q1 2014,2013-12-31,3.01,0.08666666666666667
Q4 2013,2013-09-30,2.24,0.08333333333333333
Q3 2013,2013-06-30,1.52,0.11666666666666665
Q2 2013,2013-03-31,1.7,0.14333333333333334
Q1 2013,2012-12-31,1.55,0.16
Q4 2012,2012-09-30,2.57,0.14333333333333334
Q3 2012,2012-06-30,2.4,0.15333333333333335
Q2 2012,2012-03-31,2.64,0.10333333333333333
Q1 2012,2011-12-31,1.54,0.07333333333333335
Q4 2011,2011-09-30,0.94,0.08333333333333333
Q3 2011,2011-06-30,1.74,0.09333333333333334
Q2 2011,2011-03-31,2.04,0.15666666666666668
Q1 2011,2010-12-31,2.78,0.18666666666666668
Q4 2010,2010-09-30,3.34,0.18666666666666668
Q3 2010,2010-06-30,2.91,0.19333333333333336
Q2 2010,2010-03-31,1.75,0.13333333333333333
Q1 2010,2009-12-31,0.11,0.12
