date,net_income_musd
2009-01-31,14.0
2009-04-30,18.0
2009-07-31,21.0
2009-10-31,21.0
2010-01-31,20.0
2010-04-30,18.0
2010-07-31,15.0
2010-10-31,21.0
2011-01-31,11.0
2011-04-30,1.0
2011-07-31,-4.0
2011-10-31,-4.0
2012-01-31,-4.0
2012-04-30,-19.0
2012-07-31,-10.0
2012-10-31,-220.0
2013-01-31,-21.0
2013-04-30,-68.0
2013-07-31,77.0
2013-10-31,-124.0
2014-01-31,-117.0
2014-04-30,-97.0
2014-07-31,-61.0
2014-10-31,-39.0
2015-01-31,-66.0
2015-04-30,4.0
2015-07-31,-1.0
2015-10-31,-25.0
2016-01-31,-26.0
2016-04-30,39.0
2016-07-31,230.0
2016-10-31,-37.0
2017-01-31,92.0
2017-04-30,1.0
2017-07-31,46.0
2017-10-31,107.0
2018-01-31,206.0
2018-04-30,344.0
2018-07-31,299.0
2018-10-31,105.0
2019-01-31,362.0
2019-04-30,392.0
2019-07-31,91.0
2019-10-31,-109.0
2020-01-31,-248.0
2020-04-30,99.0
2020-07-31,2625.0
2020-10-31,1081.0
2021-01-31,267.0
2021-04-30,469.0
2021-07-31,535.0
2021-10-31,468.0
2022-01-31,-28.0
2022-04-30,28.0
2022-07-31,68.0
2022-10-31,210.0
2023-01-31,-98.0
2023-04-30,199.0
2023-07-31,1267.0
2023-10-31,1224.0
2024-01-31,1446.0
2024-04-30,1533.0
2024-07-31,1429.0
2024-10-31,1527.0
2025-01-31,1708.0
2025-04-30,1541.0
